connections,min_ms,avg_ms,max_ms,stddev_ms
410,1.75,1.87,2.07,0.07
411,1.71,1.89,2.49,0.16
412,1.76,1.85,2.00,0.07
413,1.69,1.83,1.95,0.08
414,1.72,1.85,2.07,0.08
415,1.78,1.86,2.00,0.06
416,1.72,1.85,2.04,0.09
417,1.77,1.88,2.01,0.06
418,1.70,1.86,2.02,0.09
419,1.74,2.20,5.57,0.90
420,1.74,1.87,2.11,0.09
421,1.64,1.85,2.00,0.09
422,1.75,1.89,2.03,0.08
423,1.52,1.94,2.32,0.14
424,1.82,1.91,2.08,0.07
425,1.83,1.93,2.08,0.06
426,1.83,1.99,2.93,0.23
427,1.85,1.92,2.09,0.06
428,1.75,1.92,2.07,0.08
429,1.84,1.93,2.01,0.05
430,1.84,1.93,2.09,0.06
431,1.74,1.91,2.02,0.07
432,1.81,1.88,2.03,0.06
433,1.85,1.94,2.08,0.06
434,1.88,1.98,2.14,0.06
435,1.83,1.94,2.08,0.07
436,1.79,1.95,2.15,0.09
437,1.80,1.93,2.03,0.06
438,1.85,2.03,2.36,0.12
439,1.84,1.96,2.08,0.06
440,1.87,1.98,2.14,0.07
441,1.66,1.89,2.53,0.18
442,1.88,1.99,2.14,0.07
443,1.87,1.97,2.10,0.06
444,1.84,1.95,2.12,0.06
445,1.87,2.02,2.20,0.09
446,1.83,1.95,2.16,0.08
447,1.89,2.01,2.15,0.06
448,1.90,1.97,2.10,0.06
449,1.91,2.00,2.12,0.05
450,1.90,2.01,2.14,0.06
451,1.90,2.06,2.25,0.11
452,1.85,1.99,2.19,0.09
453,1.92,2.03,2.15,0.06
454,1.85,2.00,2.29,0.10
455,1.81,2.08,2.94,0.22
456,1.94,2.04,2.17,0.06
457,1.87,2.06,2.27,0.10
458,1.87,2.02,2.21,0.09
459,1.94,2.07,2.30,0.08
460,1.94,2.04,2.21,0.06
461,1.90,2.03,2.30,0.09
462,1.91,2.00,2.13,0.05
463,1.95,2.07,2.30,0.09
464,1.95,2.06,2.23,0.07
465,1.98,2.06,2.14,0.05
466,1.99,2.08,2.28,0.06
467,2.01,2.12,2.30,0.07
468,1.96,2.07,2.26,0.08
469,1.94,2.07,2.22,0.07
470,1.84,2.09,3.22,0.28
471,1.96,2.09,2.24,0.08
472,1.99,2.09,2.22,0.06
473,2.04,2.14,2.34,0.07
474,2.01,2.11,2.22,0.06
475,2.04,2.13,2.27,0.06
476,1.93,2.07,2.23,0.08
477,1.98,2.14,2.33,0.09
478,1.96,2.05,2.20,0.07
479,2.03,2.13,2.29,0.07
480,1.95,2.10,2.34,0.09
481,1.91,2.13,2.32,0.09
482,2.01,2.09,2.16,0.04
483,2.02,2.15,2.23,0.06
484,1.95,2.21,3.34,0.28
485,2.03,2.15,2.27,0.06
486,2.06,2.17,2.29,0.05
487,2.01,2.16,2.36,0.11
488,2.02,2.15,2.24,0.05
489,1.97,2.16,2.39,0.10
490,2.05,2.18,2.35,0.07
491,2.04,2.18,2.33,0.07
492,2.07,2.16,2.31,0.07
493,2.04,2.15,2.30,0.07
494,2.06,2.21,2.35,0.07
495,2.06,2.23,2.33,0.06
496,2.09,2.21,2.42,0.08
497,2.03,2.17,2.34,0.09
498,2.14,2.25,2.38,0.06
499,1.93,2.16,2.96,0.22
500,2.11,2.21,2.35,0.06
501,2.09,2.19,2.36,0.08
502,2.13,2.24,2.50,0.09
503,2.07,2.21,2.33,0.07
504,2.05,2.22,2.39,0.09
505,2.15,2.26,2.45,0.07
506,2.11,2.25,2.52,0.08
507,2.15,2.28,2.52,0.09
508,2.12,2.23,2.41,0.07
509,2.04,2.20,2.54,0.11
510,2.04,2.25,2.44,0.10
511,2.16,2.27,2.42,0.06
512,2.16,2.24,2.43,0.08
513,2.16,2.28,2.40,0.07
514,2.13,2.34,3.25,0.24
515,2.15,2.29,2.41,0.07
516,2.02,2.24,2.46,0.10
517,2.19,2.28,2.50,0.07
518,2.20,2.29,2.39,0.05
519,2.07,2.30,2.42,0.08
520,2.23,2.33,2.45,0.06
521,2.20,2.33,2.46,0.07
522,2.23,2.33,2.52,0.07
523,2.26,2.34,2.44,0.05
524,2.20,2.30,2.53,0.09
525,2.23,2.33,2.51,0.06
526,2.19,2.33,2.49,0.08
527,2.19,2.35,2.61,0.09
528,2.09,2.42,4.14,0.46
529,2.10,2.29,2.51,0.10
530,2.21,2.32,2.45,0.07
531,2.23,2.31,2.44,0.07
532,2.25,2.39,2.65,0.11
533,2.26,2.38,2.65,0.09
534,2.24,2.34,2.46,0.06
535,2.15,2.33,2.58,0.09
536,2.25,2.37,2.59,0.08
537,2.26,2.40,2.51,0.07
538,2.24,2.36,2.54,0.09
539,2.30,2.40,2.54,0.06
540,2.29,2.42,2.55,0.07
541,2.30,2.39,2.60,0.07
542,2.28,2.40,2.54,0.07
543,2.28,2.39,2.57,0.08
544,2.26,2.38,2.54,0.07
545,2.31,2.43,2.53,0.06
546,2.28,2.43,2.61,0.07
547,2.30,2.45,2.57,0.07
548,2.27,2.41,2.59,0.07
549,2.31,2.44,2.77,0.09
550,2.32,2.45,2.63,0.06
551,2.36,2.47,2.63,0.07
552,2.24,2.38,2.58,0.09
553,2.29,2.44,2.56,0.07
554,2.15,2.42,2.65,0.12
555,2.29,2.39,2.53,0.06
556,2.28,2.44,2.55,0.07
557,2.36,2.43,2.55,0.05
558,2.13,2.35,2.60,0.15
559,2.34,2.48,2.60,0.07
560,2.32,2.48,2.62,0.07
561,2.29,2.47,2.68,0.09
562,2.29,2.45,2.71,0.09
563,2.36,2.48,2.65,0.08
564,2.40,2.50,2.74,0.07
565,2.36,2.50,2.60,0.06
566,2.31,2.43,2.61,0.07
567,2.29,2.46,2.78,0.12
568,2.37,2.47,2.62,0.06
569,2.42,2.52,2.71,0.07
570,2.47,2.57,2.70,0.05
571,2.38,2.54,2.69,0.08
572,2.39,2.55,2.80,0.10
573,2.31,2.49,2.82,0.11
574,2.36,2.47,2.59,0.07
575,2.33,2.56,2.70,0.09
576,2.40,2.57,2.96,0.13
577,2.41,2.54,2.79,0.10
578,2.29,2.44,2.64,0.10
579,2.41,2.52,2.73,0.07
580,2.45,2.55,2.79,0.08
581,2.43,2.49,2.68,0.06
582,2.40,2.56,2.82,0.09
583,2.32,2.48,2.65,0.09
584,2.44,2.57,2.68,0.07
585,2.52,2.61,2.72,0.06
586,2.47,2.59,2.74,0.06
587,2.44,2.55,2.75,0.07
588,2.48,2.59,2.80,0.07
589,2.40,3.52,12.83,2.95
590,2.39,2.53,2.69,0.08
591,2.44,2.58,2.82,0.10
592,2.47,2.60,2.86,0.09
593,2.50,2.63,2.80,0.07
594,2.49,2.57,2.75,0.06
595,2.42,2.56,2.74,0.09
596,2.55,2.62,2.77,0.06
597,2.40,2.60,2.78,0.10
598,2.40,2.56,2.72,0.10
599,2.55,2.65,2.77,0.06
600,2.48,2.64,2.82,0.10
601,2.53,2.65,2.88,0.09
602,2.57,2.68,2.95,0.09
603,2.43,2.58,2.74,0.08
604,2.54,2.67,2.86,0.08
605,2.42,2.63,2.90,0.12
606,2.55,2.67,2.88,0.08
607,2.50,2.66,2.92,0.11
608,2.56,2.67,3.07,0.11
609,2.51,2.63,3.01,0.12
610,2.47,2.67,2.96,0.10
611,2.48,2.64,2.77,0.08
612,2.54,2.64,2.73,0.06
613,2.61,2.72,2.91,0.08
614,2.60,2.72,2.94,0.08
615,2.64,2.74,2.92,0.07
616,2.57,2.70,2.82,0.06
617,2.56,2.70,2.85,0.07
618,2.61,2.74,2.96,0.09
619,2.61,2.74,2.87,0.07
620,2.56,2.67,2.78,0.07
621,2.61,2.73,2.92,0.08
622,2.55,2.69,2.91,0.09
623,2.54,2.72,3.03,0.12
624,2.65,2.76,2.99,0.09
625,2.61,2.74,2.95,0.08
626,2.54,2.69,2.89,0.07
627,2.66,2.81,2.93,0.08
628,2.69,2.80,3.01,0.07
629,2.61,2.77,2.86,0.08
630,2.58,2.77,2.97,0.09
631,2.64,2.76,2.92,0.07
632,2.66,2.80,2.95,0.07
633,2.67,2.81,3.05,0.09
634,2.59,2.80,3.01,0.09
635,2.52,2.71,2.82,0.09
636,2.61,2.76,2.98,0.10
637,2.57,2.75,2.91,0.10
638,2.69,2.90,3.38,0.17
639,2.70,2.79,2.95,0.08
640,2.71,2.81,2.98,0.07
641,2.68,2.83,2.94,0.08
642,2.65,2.81,3.10,0.11
643,2.75,2.84,2.93,0.05
644,2.69,2.82,3.08,0.10
645,2.65,2.81,3.01,0.10
646,2.70,2.83,3.11,0.09
647,2.71,2.92,4.01,0.28
648,2.66,2.82,3.02,0.09
649,2.63,2.78,3.03,0.09
650,2.76,2.87,3.08,0.09
651,2.75,2.87,3.05,0.08
652,2.74,2.86,3.03,0.08
653,2.71,2.85,3.09,0.08
654,2.75,2.86,3.04,0.07
655,2.69,2.83,2.97,0.08
656,2.69,2.89,3.14,0.10
657,2.72,2.91,3.13,0.10
658,2.75,3.03,4.34,0.44
659,2.78,2.89,3.01,0.07
660,2.75,2.88,3.03,0.08
661,2.80,2.93,3.28,0.13
662,2.80,2.90,3.19,0.10
663,2.80,2.92,3.06,0.07
664,2.81,2.91,2.98,0.04
665,2.75,2.93,3.09,0.10
666,2.76,2.93,3.23,0.11
667,2.81,2.98,3.24,0.10
668,2.73,2.85,3.04,0.08
669,2.73,2.83,3.08,0.09
670,2.68,2.81,3.03,0.11
671,2.84,2.95,3.10,0.08
672,2.84,2.95,3.14,0.08
673,2.72,2.95,3.13,0.10
674,2.84,2.92,3.06,0.05
675,2.85,3.01,3.33,0.11
676,2.79,3.00,3.33,0.13
677,2.81,2.99,3.32,0.11
678,2.89,2.99,3.10,0.07
679,2.85,2.96,3.11,0.07
680,2.86,3.00,3.32,0.09
681,2.79,2.96,3.20,0.12
682,2.84,2.98,3.12,0.08
683,2.82,3.00,3.40,0.14
684,2.90,3.02,3.39,0.11
685,2.84,2.95,3.13,0.07
686,2.82,2.99,3.19,0.11
687,2.80,3.03,3.19,0.10
688,2.88,3.00,3.13,0.08
689,2.76,2.99,3.21,0.11
690,2.90,3.03,3.17,0.07
691,2.89,3.05,3.26,0.10
692,2.91,3.03,3.16,0.06
693,2.91,3.05,3.21,0.09
694,2.89,2.99,3.16,0.07
695,2.89,3.03,3.25,0.09
696,2.85,2.98,3.16,0.09
697,2.83,3.04,3.46,0.12
698,2.85,3.02,3.25,0.10
699,2.92,3.06,3.22,0.08
700,2.88,3.04,3.30,0.09
701,2.85,3.02,3.22,0.09
702,2.91,3.02,3.25,0.08
703,2.79,3.02,3.18,0.11
704,2.88,3.07,3.31,0.11
705,2.96,3.06,3.23,0.07
706,2.49,3.08,3.68,0.20
707,2.94,3.08,3.27,0.08
708,3.00,3.10,3.27,0.08
709,2.90,3.07,3.35,0.11
710,2.62,3.17,3.99,0.24
711,2.97,3.11,3.22,0.07
712,2.98,3.12,3.31,0.08
713,2.96,3.14,3.38,0.11
714,2.98,3.19,3.59,0.15
715,2.97,3.09,3.23,0.07
716,3.04,3.12,3.30,0.06
717,2.93,3.12,3.38,0.12
718,2.94,3.06,3.21,0.07
719,2.89,3.04,3.24,0.09
720,2.80,2.99,3.30,0.12
721,2.96,3.10,3.25,0.07
722,3.05,3.16,3.30,0.08
723,2.91,3.10,3.54,0.16
724,2.99,3.18,3.47,0.11
725,2.74,3.16,3.95,0.21
726,3.00,3.17,3.42,0.10
727,3.05,3.17,3.29,0.07
728,3.07,3.20,3.34,0.07
729,3.01,3.14,3.33,0.09
730,3.01,3.16,3.39,0.09
731,3.01,3.16,3.42,0.11
732,3.06,3.18,3.30,0.07
733,3.00,3.18,3.34,0.08
734,3.08,3.22,3.37,0.08
735,3.00,3.21,3.47,0.10
736,2.98,3.23,3.51,0.13
737,3.06,3.18,3.37,0.07
738,3.06,4.14,12.23,2.48
739,3.08,3.21,3.45,0.11
740,3.01,3.18,3.45,0.12
741,3.15,3.24,3.50,0.09
742,2.93,3.16,3.43,0.12
743,3.05,3.27,3.53,0.10
744,3.10,3.24,3.42,0.08
745,3.16,3.28,3.40,0.07
746,2.76,3.29,3.85,0.21
747,2.87,3.30,4.19,0.29
748,3.11,4.29,13.43,2.98
749,3.14,3.27,3.49,0.10
750,3.11,3.25,3.50,0.09
751,3.15,3.31,3.44,0.09
752,3.13,3.25,3.49,0.10
753,3.06,3.24,3.38,0.10
754,3.12,3.27,3.49,0.10
755,3.16,3.32,3.56,0.11
756,3.14,3.28,3.43,0.07
757,3.20,3.35,3.55,0.09
758,3.12,3.27,3.50,0.09
759,3.18,3.31,3.52,0.09
760,3.01,3.20,3.45,0.10
761,3.15,3.28,3.42,0.08
762,2.98,3.26,3.85,0.19
763,3.16,3.28,3.39,0.06
764,3.14,3.27,3.45,0.09
765,3.05,3.27,3.54,0.13
766,3.16,3.32,3.74,0.14
767,3.21,3.38,3.63,0.10
768,3.12,3.29,3.65,0.14
769,3.14,3.33,3.61,0.11
770,3.22,3.38,3.52,0.09
771,3.16,3.33,3.71,0.13
772,3.28,3.39,3.49,0.05
773,3.23,3.38,3.65,0.10
774,3.21,3.33,3.63,0.09
775,3.30,3.42,3.59,0.08
776,3.27,3.51,4.99,0.35
