clients,duration,failed_transactions,initial_connection_time,jobs,latency_avg,num_clients,num_threads,run_number,scaling_factor,test_type,threshold,tps,transaction_type,transactions_processed,version
16,3,0,4.024,16,0.118,16,16,9,1,listen_unlisten_unique,8,135810.687163,listen_unlisten_unique.sql,407436,optimize_listen_notify_v4
1000,3,0,226.767,16,359.32,1000,16,3,1,listen_notify_unique,8,2783.034071,listen_notify_unique.sql,8445,optimize_listen_notify_v4
1000,3,0,235.121,32,353.824,1000,32,1,1,listen_notify_unique,1,2826.264579,listen_notify_unique.sql,8530,optimize_listen_notify_v4
2,3,0,1.248,2,0.012,2,2,6,1,listen_unique,1,172371.8933,listen_unique.sql,518636,optimize_listen_notify_v4
2,3,0,1.184,2,0.011,2,2,5,1,listen_common,,178543.671938,listen_common.sql,535503,master
32,3,0,7.655,32,1.233,32,32,7,1,listen_notify_common,16,25962.181372,listen_notify_common.sql,78396,optimize_listen_notify_v4
1000,3,0,239.45,8,1.945,1000,8,6,1,listen_common,,514089.66304,listen_common.sql,1479457,master
1000,3,0,258.849,4,2.2,1000,4,8,1,listen_unique,16,454482.741481,listen_unique.sql,1280087,optimize_listen_notify_v4
1,3,0,0.99,1,0.01,1,1,6,1,listen_common,1,104054.412537,listen_common.sql,312229,optimize_listen_notify_v4
16,3,0,4.043,16,0.113,16,16,6,1,listen_unlisten_unique,16,141474.769922,listen_unlisten_unique.sql,424880,optimize_listen_notify_v4
4,3,0,1.543,4,0.017,4,4,5,1,listen_unique,8,241169.885735,listen_unique.sql,724743,optimize_listen_notify_v4
1000,3,0,471.917,2,9922.188,1000,2,6,1,listen_notify_unique,,100.784218,listen_notify_unique.sql,1645,master
32,3,0,7.033,32,0.226,32,32,2,1,listen_unlisten_unique,,141354.845668,listen_unlisten_unique.sql,423322,master
1000,3,0,222.386,16,10431.966,1000,16,0,1,listen_notify_unique,,95.859211,listen_notify_unique.sql,1660,master
8,3,0,2.736,8,0.027,8,8,9,1,listen_common,16,301509.268621,listen_common.sql,904207,optimize_listen_notify_v4
1000,3,0,226.171,8,9184.998,1000,8,2,1,listen_notify_common,16,108.873188,listen_notify_common.sql,1847,optimize_listen_notify_v4
8,3,0,2.586,8,0.026,8,8,1,1,listen_unique,,303813.579479,listen_unique.sql,913270,master
4,3,0,1.774,4,0.332,4,4,8,1,listen_unlisten_common,,12060.503202,listen_unlisten_common.sql,36178,master
1000,3,0,229.658,8,18.282,1000,8,2,1,listen_unlisten_unique,1,54698.526159,listen_unlisten_unique.sql,163590,optimize_listen_notify_v4
1000,3,0,882.713,1,3.334,1000,1,0,1,listen_unique,8,299931.492753,listen_unique.sql,647083,optimize_listen_notify_v4
8,3,0,2.825,8,0.028,8,8,6,1,listen_common,8,289849.006718,listen_common.sql,869125,optimize_listen_notify_v4
8,3,0,2.548,8,0.026,8,8,7,1,listen_common,8,302729.9357,listen_common.sql,909553,optimize_listen_notify_v4
1000,3,0,228.168,8,20.922,1000,8,3,1,listen_unlisten_unique,1,47796.552518,listen_unlisten_unique.sql,143328,optimize_listen_notify_v4
4,3,0,1.918,4,0.033,4,4,9,1,listen_unlisten_common,,120250.99521,listen_unlisten_common.sql,361009,master
1000,3,0,874.614,1,3.356,1000,1,1,1,listen_unique,8,297959.033321,listen_unique.sql,647097,optimize_listen_notify_v4
8,3,0,2.506,8,0.026,8,8,8,1,listen_common,16,302459.427918,listen_common.sql,909680,optimize_listen_notify_v4
8,3,0,2.837,8,0.027,8,8,0,1,listen_unique,,301688.307928,listen_unique.sql,906383,master
1000,3,0,239.217,8,9038.487,1000,8,3,1,listen_notify_common,16,110.637989,listen_notify_common.sql,1857,optimize_listen_notify_v4
32,3,0,6.992,32,0.23,32,32,3,1,listen_unlisten_unique,,139150.872751,listen_unlisten_unique.sql,418098,master
1000,3,0,469.181,2,10440.401,1000,2,7,1,listen_notify_unique,,95.781765,listen_notify_unique.sql,1630,master
1000,3,0,248.621,16,10785.02,1000,16,1,1,listen_notify_unique,,92.721198,listen_notify_unique.sql,1582,master
1000,3,0,231.907,8,2.108,1000,8,7,1,listen_common,,474404.622073,listen_common.sql,1393426,master
4,3,0,1.909,4,0.017,4,4,4,1,listen_unique,8,242123.414525,listen_unique.sql,728176,optimize_listen_notify_v4
16,3,0,4.303,16,0.112,16,16,7,1,listen_unlisten_unique,16,142347.826463,listen_unlisten_unique.sql,427976,optimize_listen_notify_v4
1,3,0,1.034,1,0.009,1,1,7,1,listen_common,1,106810.581158,listen_common.sql,321394,optimize_listen_notify_v4
1000,3,0,258.087,4,2.229,1000,4,9,1,listen_unique,16,448557.049228,listen_unique.sql,1292078,optimize_listen_notify_v4
1000,3,0,237.237,32,344.951,1000,32,0,1,listen_notify_unique,1,2898.962843,listen_notify_unique.sql,8747,optimize_listen_notify_v4
1000,3,0,230.518,16,351.587,1000,16,2,1,listen_notify_unique,8,2844.248014,listen_notify_unique.sql,8608,optimize_listen_notify_v4
2,3,0,1.219,2,0.011,2,2,4,1,listen_common,,178308.954383,listen_common.sql,536047,master
32,3,0,7.025,32,1.368,32,32,6,1,listen_notify_common,16,23388.339322,listen_notify_common.sql,70601,optimize_listen_notify_v4
2,3,0,1.613,2,0.011,2,2,7,1,listen_unique,1,177891.617715,listen_unique.sql,535085,optimize_listen_notify_v4
32,3,0,7.19,32,0.226,32,32,6,1,listen_unlisten_unique,1,141441.261537,listen_unlisten_unique.sql,424973,optimize_listen_notify_v4
1000,3,0,253.394,4,10460.733,1000,4,1,1,listen_notify_common,,95.595593,listen_notify_common.sql,1683,master
16,3,0,4.197,16,0.113,16,16,8,1,listen_unlisten_unique,8,141795.457926,listen_unlisten_unique.sql,426085,optimize_listen_notify_v4
1000,3,0,217.097,32,18.344,1000,32,0,1,listen_unlisten_common,16,54513.883798,listen_unlisten_common.sql,163599,optimize_listen_notify_v4
1000,3,0,255.941,4,2.187,1000,4,6,1,listen_unique,8,457292.556819,listen_unique.sql,1324445,optimize_listen_notify_v4
16,3,0,4.044,16,0.397,16,16,7,1,listen_notify_common,1,40299.541438,listen_notify_common.sql,121638,optimize_listen_notify_v4
16,3,0,3.96,16,0.389,16,16,2,1,listen_notify_unique,,41149.803649,listen_notify_unique.sql,123784,master
32,3,0,7.132,32,1.463,32,32,9,1,listen_notify_common,8,21865.898901,listen_notify_common.sql,65800,optimize_listen_notify_v4
1000,3,0,871.634,1,7.263,1000,1,6,1,listen_unlisten_common,1,137685.197948,listen_unlisten_common.sql,300660,optimize_listen_notify_v4
1000,3,0,466.06,2,14.442,1000,2,6,1,listen_unlisten_common,16,69243.384342,listen_unlisten_common.sql,191099,optimize_listen_notify_v4
1000,3,0,222.356,8,2.299,1000,8,4,1,listen_common,8,434906.072819,listen_common.sql,1275309,optimize_listen_notify_v4
1000,3,0,239.341,8,17.847,1000,8,9,1,listen_unlisten_common,,56033.216719,listen_unlisten_common.sql,166733,master
8,3,0,2.554,8,0.056,8,8,0,1,listen_unlisten_unique,1,142502.378877,listen_unlisten_unique.sql,428308,optimize_listen_notify_v4
1000,3,0,889.796,1,327.13,1000,1,9,1,listen_notify_unique,8,3056.888285,listen_notify_unique.sql,7236,optimize_listen_notify_v4
8,3,0,2.655,8,0.134,8,8,0,1,listen_notify_common,16,59692.779471,listen_notify_common.sql,179863,optimize_listen_notify_v4
1000,3,0,476.041,2,14.825,1000,2,9,1,listen_unlisten_common,8,67455.522384,listen_unlisten_common.sql,185615,optimize_listen_notify_v4
1000,3,0,469.229,2,347.303,1000,2,6,1,listen_notify_unique,1,2879.333994,listen_notify_unique.sql,8042,optimize_listen_notify_v4
1000,3,0,870.15,1,333.984,1000,1,6,1,listen_notify_unique,16,2994.154585,listen_notify_unique.sql,7229,optimize_listen_notify_v4
2,3,0,1.513,2,0.042,2,2,0,1,listen_unlisten_common,8,47493.881809,listen_unlisten_common.sql,142582,optimize_listen_notify_v4
1000,3,0,255.854,4,346.854,1000,4,1,1,listen_notify_unique,16,2883.06118,listen_notify_unique.sql,8624,optimize_listen_notify_v4
4,3,0,1.784,4,0.017,4,4,7,1,listen_common,,240776.677718,listen_common.sql,723969,master
1,3,0,1.015,1,0.019,1,1,0,1,listen_unlisten_unique,8,51286.338224,listen_unlisten_unique.sql,154297,optimize_listen_notify_v4
1000,3,0,242.495,32,1.912,1000,32,8,1,listen_unique,1,523120.016476,listen_unique.sql,1508811,optimize_listen_notify_v4
4,3,0,1.898,4,0.033,4,4,3,1,listen_unlisten_common,1,119910.604081,listen_unlisten_common.sql,360714,optimize_listen_notify_v4
1,3,0,0.985,1,0.019,1,1,0,1,listen_unlisten_common,,52321.353096,listen_unlisten_common.sql,157338,master
4,3,0,1.887,4,0.028,4,4,3,1,listen_notify_unique,16,140403.822639,listen_notify_unique.sql,422669,optimize_listen_notify_v4
1000,3,0,219.076,16,1.834,1000,16,5,1,listen_unique,16,545372.992522,listen_unique.sql,1542954,optimize_listen_notify_v4
1000,3,0,236.278,32,10593.922,1000,32,2,1,listen_notify_unique,,94.393749,listen_notify_unique.sql,1612,master
1000,3,0,258.507,4,17.213,1000,4,1,1,listen_unlisten_common,1,58096.910433,listen_unlisten_common.sql,171880,optimize_listen_notify_v4
32,3,0,7.065,32,0.113,32,32,1,1,listen_common,8,283830.090344,listen_common.sql,850326,optimize_listen_notify_v4
4,3,0,1.528,4,0.017,4,4,6,1,listen_unique,,241338.043199,listen_unique.sql,725982,master
16,3,0,4.328,16,0.401,16,16,5,1,listen_notify_common,16,39865.774749,listen_notify_common.sql,120252,optimize_listen_notify_v4
1000,3,0,239.509,32,19.216,1000,32,2,1,listen_unlisten_common,1,52039.638665,listen_unlisten_common.sql,155473,optimize_listen_notify_v4
4,3,0,1.894,4,0.016,4,4,9,1,listen_unique,1,243919.749536,listen_unique.sql,733755,optimize_listen_notify_v4
1000,3,0,237.499,16,19.157,1000,16,0,1,listen_unlisten_common,8,52199.885054,listen_unlisten_common.sql,155947,optimize_listen_notify_v4
32,3,0,6.67,32,0.229,32,32,4,1,listen_unlisten_unique,16,139663.578198,listen_unlisten_unique.sql,419304,optimize_listen_notify_v4
1,3,0,1.0,1,0.019,1,1,1,1,listen_unlisten_unique,,53084.504329,listen_unlisten_unique.sql,159545,master
2,3,0,1.404,2,0.012,2,2,5,1,listen_unique,16,172134.715892,listen_unique.sql,516793,optimize_listen_notify_v4
32,3,0,7.457,32,1.172,32,32,4,1,listen_notify_common,1,27298.486703,listen_notify_common.sql,82352,optimize_listen_notify_v4
1000,3,0,246.732,32,360.725,1000,32,2,1,listen_notify_unique,16,2772.197141,listen_notify_unique.sql,8431,optimize_listen_notify_v4
1000,3,0,221.763,32,9573.835,1000,32,3,1,listen_notify_common,,104.451347,listen_notify_common.sql,1731,master
16,3,0,4.252,16,0.119,16,16,5,1,listen_unlisten_unique,1,134796.691778,listen_unlisten_unique.sql,405292,optimize_listen_notify_v4
1,3,0,1.17,1,0.01,1,1,5,1,listen_common,16,104924.204928,listen_common.sql,314800,optimize_listen_notify_v4
1000,3,0,229.574,8,9035.764,1000,8,1,1,listen_notify_common,1,110.671334,listen_notify_common.sql,1886,optimize_listen_notify_v4
1000,3,0,240.594,8,18.268,1000,8,8,1,listen_unlisten_unique,,54739.70836,listen_unlisten_unique.sql,163318,master
1000,3,0,458.769,2,2.582,1000,2,3,1,listen_unique,8,387285.92116,listen_unique.sql,1013334,optimize_listen_notify_v4
1000,3,0,219.756,8,18.58,1000,8,1,1,listen_unlisten_unique,16,53821.299585,listen_unlisten_unique.sql,161228,optimize_listen_notify_v4
2,3,0,1.223,2,0.018,2,2,2,1,listen_notify_unique,8,109106.878391,listen_notify_unique.sql,328571,optimize_listen_notify_v4
1000,3,0,229.229,8,2.033,1000,8,6,1,listen_unique,,491857.154193,listen_unique.sql,1431837,master
1000,3,0,221.198,32,1.863,1000,32,5,1,listen_unique,8,536877.885703,listen_unique.sql,1753033,optimize_listen_notify_v4
1000,3,0,235.355,16,1.988,1000,16,7,1,listen_unique,1,503003.713707,listen_unique.sql,1462266,optimize_listen_notify_v4
1000,3,0,250.16,4,16.864,1000,4,3,1,listen_unlisten_common,16,59299.031798,listen_unlisten_common.sql,176286,optimize_listen_notify_v4
1,3,0,0.969,1,0.016,1,1,2,1,listen_notify_common,8,61854.793409,listen_notify_common.sql,186206,optimize_listen_notify_v4
4,3,0,1.736,4,0.029,4,4,1,1,listen_notify_unique,1,139954.358989,listen_notify_unique.sql,421203,optimize_listen_notify_v4
2,3,0,1.248,2,0.011,2,2,5,1,listen_unique,,177743.803644,listen_unique.sql,534800,master
1000,3,0,263.879,4,9942.399,1000,4,0,1,listen_notify_unique,,100.579351,listen_notify_unique.sql,1751,master
4,3,0,1.759,4,0.034,4,4,1,1,listen_unlisten_common,16,118708.546365,listen_unlisten_common.sql,356166,optimize_listen_notify_v4
16,3,0,4.083,16,0.056,16,16,2,1,listen_common,8,285236.516773,listen_common.sql,857488,optimize_listen_notify_v4
1000,3,0,260.1,4,347.984,1000,4,3,1,listen_notify_unique,1,2873.697553,listen_notify_unique.sql,8606,optimize_listen_notify_v4
16,3,0,4.177,16,0.397,16,16,3,1,listen_notify_common,,40309.96237,listen_notify_common.sql,121574,master
1000,3,0,475.253,2,322.936,1000,2,4,1,listen_notify_unique,16,3096.591977,listen_notify_unique.sql,8565,optimize_listen_notify_v4
1000,3,0,861.556,1,336.977,1000,1,4,1,listen_notify_unique,1,2967.559267,listen_notify_unique.sql,7081,optimize_listen_notify_v4
1000,3,0,240.316,8,1.943,1000,8,9,1,listen_common,1,514750.534155,listen_common.sql,1439487,optimize_listen_notify_v4
4,3,0,1.633,4,0.033,4,4,8,1,listen_unlisten_unique,,120208.278627,listen_unlisten_unique.sql,361643,master
8,3,0,2.601,8,0.132,8,8,2,1,listen_notify_common,1,60596.700685,listen_notify_common.sql,182647,optimize_listen_notify_v4
8,3,0,2.525,8,0.056,8,8,2,1,listen_unlisten_unique,16,142830.068606,listen_unlisten_unique.sql,429576,optimize_listen_notify_v4
8,3,0,2.276,8,0.026,8,8,1,1,listen_common,,302706.271594,listen_common.sql,909616,master
32,3,0,7.585,32,0.228,32,32,2,1,listen_unlisten_common,,140529.349717,listen_unlisten_common.sql,421798,master
1000,3,0,467.716,2,9843.227,1000,2,6,1,listen_notify_common,,101.592697,listen_notify_common.sql,1769,master
1000,3,0,857.456,1,7.353,1000,1,4,1,listen_unlisten_common,16,136005.405686,listen_unlisten_common.sql,306747,optimize_listen_notify_v4
1000,3,0,250.952,16,9178.501,1000,16,0,1,listen_notify_common,,108.950247,listen_notify_common.sql,1699,master
1000,3,0,463.331,2,15.111,1000,2,4,1,listen_unlisten_common,1,66176.746319,listen_unlisten_common.sql,183533,optimize_listen_notify_v4
8,3,0,2.568,8,0.026,8,8,3,1,listen_common,,302739.589885,listen_common.sql,907758,master
8,3,0,2.695,8,0.056,8,8,0,1,listen_unlisten_unique,16,142121.916639,listen_unlisten_unique.sql,427422,optimize_listen_notify_v4
1000,3,0,479.685,2,340.532,1000,2,9,1,listen_notify_unique,8,2936.583857,listen_notify_unique.sql,8224,optimize_listen_notify_v4
1000,3,0,471.873,2,15.247,1000,2,6,1,listen_unlisten_common,1,65586.418642,listen_unlisten_common.sql,182256,optimize_listen_notify_v4
1000,3,0,250.946,16,10253.312,1000,16,2,1,listen_notify_common,,97.529465,listen_notify_common.sql,1691,master
1000,3,0,889.023,1,7.23,1000,1,6,1,listen_unlisten_common,16,138303.384697,listen_unlisten_common.sql,302411,optimize_listen_notify_v4
1000,3,0,475.417,2,10819.532,1000,2,4,1,listen_notify_common,,92.425443,listen_notify_common.sql,1676,master
32,3,0,7.381,32,0.224,32,32,0,1,listen_unlisten_common,,143084.812707,listen_unlisten_common.sql,429428,master
1000,3,0,857.901,1,336.823,1000,1,6,1,listen_notify_unique,1,2968.916564,listen_notify_unique.sql,7127,optimize_listen_notify_v4
1000,3,0,478.464,2,341.275,1000,2,6,1,listen_notify_unique,16,2930.189237,listen_notify_unique.sql,8167,optimize_listen_notify_v4
1000,3,0,879.743,1,7.106,1000,1,9,1,listen_unlisten_common,8,140733.275644,listen_unlisten_common.sql,304288,optimize_listen_notify_v4
8,3,0,2.714,8,0.133,8,8,0,1,listen_notify_common,1,60316.497429,listen_notify_common.sql,181759,optimize_listen_notify_v4
16,3,0,4.158,16,0.056,16,16,0,1,listen_common,8,285610.528196,listen_common.sql,858834,optimize_listen_notify_v4
4,3,0,1.859,4,0.034,4,4,3,1,listen_unlisten_common,16,119334.784022,listen_unlisten_common.sql,358986,optimize_listen_notify_v4
1000,3,0,248.355,32,1.904,1000,32,8,1,listen_unique,16,525285.989289,listen_unique.sql,1629320,optimize_listen_notify_v4
1000,3,0,255.034,4,10381.791,1000,4,2,1,listen_notify_unique,,96.322493,listen_notify_unique.sql,1699,master
16,3,0,4.192,16,0.397,16,16,1,1,listen_notify_common,,40314.647022,listen_notify_common.sql,121587,master
1000,3,0,255.227,4,348.527,1000,4,1,1,listen_notify_unique,1,2869.22198,listen_notify_unique.sql,8573,optimize_listen_notify_v4
1000,3,0,255.666,4,16.829,1000,4,1,1,listen_unlisten_common,16,59419.78824,listen_unlisten_common.sql,176312,optimize_listen_notify_v4
1000,3,0,248.202,16,1.811,1000,16,5,1,listen_unique,1,552327.645986,listen_unique.sql,1580258,optimize_listen_notify_v4
1000,3,0,233.865,32,1.912,1000,32,7,1,listen_unique,8,522992.97232,listen_unique.sql,1520157,optimize_listen_notify_v4
1000,3,0,227.599,8,2.28,1000,8,4,1,listen_unique,,438582.999194,listen_unique.sql,1237540,master
2,3,0,1.174,2,0.019,2,2,0,1,listen_notify_unique,8,108075.999634,listen_notify_unique.sql,325225,optimize_listen_notify_v4
2,3,0,1.175,2,0.012,2,2,7,1,listen_unique,,172829.788794,listen_unique.sql,518638,master
4,3,0,1.607,4,0.029,4,4,3,1,listen_notify_unique,1,139492.65975,listen_notify_unique.sql,419946,optimize_listen_notify_v4
1,3,0,0.987,1,0.016,1,1,0,1,listen_notify_common,8,63691.39283,listen_notify_common.sql,191783,optimize_listen_notify_v4
1000,3,0,226.454,8,17.904,1000,8,3,1,listen_unlisten_unique,16,55852.646665,listen_unlisten_unique.sql,167423,optimize_listen_notify_v4
